property_type,society,sector,price_in_cr,price_per_sqft,total_area_sqft,bedrooms,bathrooms,balcony,floornum,study_room,servant_room,store_room,pooja_room,others,facing,furnishing_type,age_possession_category,luxury_score,area_per_bedroom,coordinates,latitude,longitude
Independent House,SS Linden Floors,sector 84,2.76,15333.0,1800.0,4,4,2,4.0,0,0,0,0,1,north-east,Unfurnished,New Property,1.1055379364438354,450.0,"28.3979° N, 76.9736° E",28.3979,76.9736
Independent Builder Floor,"Block E DLF City Phase 1, Gurgaon",sector 26,4.25,15741.0,2700.0,3,3,2,1.0,0,0,0,0,0,not available,Unfurnished,New Property,0.0,900.0,"28.4757° N, 77.1032° E",28.4757,77.1032
Independent Builder Floor,"Sushant Lok Phase 1, Gurgaon",sector 43,5.25,13125.0,4000.0,4,4,2,4.0,1,1,0,1,1,east,Furnished,Relatively New,0.3599807943436079,1000.0,"28.4629° N, 77.0772° E",28.4629,77.0772
Independent House,International City by SOBHA Phase 2,sector 109,9.0,20000.0,4500.0,4,5,3+,2.0,0,1,0,0,0,west,Unfurnished,Relatively New,0.2045567883289386,1125.0,"28.5073° N, 77.0089° E",28.5073,77.0089
Flat,godrej meridien,sector 106,3.11,15534.0,2002.0,3,3,3,3.0,0,1,0,0,0,east,Unfurnished,New Property,0.0,667.3333333333334,"28.5007° N, 77.0003° E",28.5007,77.0003
Independent House,HUDA Sector 57,sector 57,5.5,37957.0,1449.0,6,6,3+,3.0,1,1,1,0,0,east,Semi-Furnished,Relatively New,1.1674751726714148,241.5,"28.4232° N, 77.0752° E",28.4232,77.0752
Independent Builder Floor,"Sushant Lok Phase 1, Gurgaon",sector 43,3.75,13883.0,2701.0,4,4,2,1.0,0,1,0,0,1,south-east,Semi-Furnished,New Property,0.8033121739446527,675.25,"28.4629° N, 77.0772° E",28.4629,77.0772
Independent House,urban Home,sector 105,1.26,14664.0,860.0,3,3,1,2.0,0,0,0,0,1,west,Unfurnished,Under Construction,0.2454587427462726,286.6666666666667,"28.4952° N, 77.0114° E",28.4952,77.0114
Independent House,Eros Rosewood City,sector 49,4.3,31851.0,1350.0,3,3,2,2.0,0,0,1,1,0,east,Unfurnished,Moderately Old,0.3025474483153066,450.0,"28.4121° N, 77.0480° E",28.4121,77.048
Independent Builder Floor,TOP FLOOR TERRACE,sector 26,7.15,19762.0,3618.0,4,5,2,4.0,0,1,0,1,0,north,Semi-Furnished,New Property,0.7609380720967022,904.5,"28.4757° N, 77.1032° E",28.4757,77.1032
