property_name,society,price_in_cr,price_per_sqft,areawithtype,property_id,link,bedrooms,bathrooms,balcony,additional_room,floor_info,facing,property_age,furnishing_details,features,nearby_location
"2 BHK Flat in Sector 112, Gurgaon",tata gurgaon gateway,2.5,15822,"1,580 sqft (147 sqm) Super Built-up Area",L84924514,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-tata-gurgaon-gateway-sector-112-gurgaon-1580-sq-ft-spid-L84924514,2,2,2,study room,5th   of 24 Floors,north-east,0 to 1 Year Old,"['3 Wardrobe', '1 Water Purifier', '4 Fan', '3 Geyser', '1 Stove', '20 Light', '5 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Metro Hospital, Palam Vihar', 'Mount Carmel School', 'Dwarka Sector 21 Metro Station', 'Dwarka Expressway', 'Delhi Jaipur Highway', 'Red Roses Public School', 'The Oberoi, Gurgaon', 'Indira Gandhi International Airport', 'Dwarka Expy', 'The NorthCap University', 'DLF Corporate Park', 'Gurgaon Dreamz Mall']"
"3 BHK Flat in Sector 37C, Gurgaon",ramprastha the view,1.29,10254,"1,565 sqft (145 sqm) Super Built-up Area",W81100115,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ramprastha-the-view-sector-37c-gurgaon-1565-sq-ft-r1-spid-W81100115,3,3,3,not available,Ground of 13 Floors,north-west,1 to 5 Year Old,"['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '1 Geyser', '8 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Bank Attached Property', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']","['Elan Miracle Mall', 'Holiday Inn Gurugram Sector 90 by IHG', 'The Signature Hospital', 'Narayana e-Techno School', 'Indira Gandhi International Airport', 'Hans Business Park', 'Dwarka Expy', 'Gurugram University']"
"4 BHK Flat in Sector 84, Gurgaon",ss linden floors,2.9,10653,"2,722 sqft (253 sqm) Super Built-up Area",M80850013,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ss-linden-floors-sector-84-gurgaon-2722-sq-ft-r1-spid-M80850013,4,4,2,"servant room,store room",3rd   of 4 Floors,north-east,0 to 1 Year Old,"['4 Wardrobe', '8 Fan', '1 Exhaust Fan', '15 Light', '6 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'High Ceiling Height', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Rain Water Harvesting', 'Club house / Community Center']","['AapnoGhar', 'Modern Public School-kherki Daula', 'Dwarka Expressway', 'Miracles Apollo Cradle Spectra Hospital', 'Millennium City Centre Gurugram', 'City Square mall', 'Holiday Inn Gurugram Sector 90', 'Agri Business Management Collage', 'Indira Gandhi International Airport', 'Nakhrola Stadium', 'AS Business Park', 'Manesar Golf Course', 'Gurgaon Railway Station']"
"3 BHK Flat in Sector 102, Gurgaon",shapoorji pallonji joyville gurugram,2.65,20075,"1,852 sqft (172 sqm) Super Built-up Area",Q85232920,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-1852-sq-ft-spid-Q85232920,3,3,3,not available,12nd   of 26 Floors,north-east,1 to 5 Year Old,"['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '3 Geyser', '1 Stove', '14 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Hyatt Place Gurgaon Udyog Vihar', 'The Esplanade Mall by DHOOT GROUP', 'Columbia Asia Hospital', 'Dwarka Expressway', 'Delhi Public School', 'Indira Gandhi International Airport', 'The NorthCap University', 'Gurgaon Railway Station', 'IFFCO Chowk Metro Station']"
"3 BHK Flat in Sector 102, Gurgaon",emaar imperial gardens,2.4,11851,"2,025 sqft (188 sqm) Super Built-up Area",K85040518,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-imperial-gardens-sector-102-gurgaon-2025-sq-ft-spid-K85040518,3,4,3+,servant room,7th   of 14 Floors,north-east,1 to 5 Year Old,"['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '3 Geyser', '1 Microwave', '16 Light', '5 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Bed', 'No Dining Table', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Sunrise University', 'Country Inn & Suites by Radisson', 'Gurugram Global Heights School', 'Satya The Hive Mall', 'Dwarka Expy', 'Gurugram Road', 'Basai Dhankot Railway Station', 'Nehru Stadium', 'The Signature Super Speciality Hospital', 'Indira Gandhi Intl Airport']"
"3 BHK Flat in Sector 104, Gurgaon",hero homes,2.4,14209,"1,689 sqft (157 sqm) Super Built-up Area",H85230422,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-hero-homes-sector-104-gurgaon-1689-sq-ft-spid-H85230422,3,3,3,pooja room,15th   of 36 Floors,north-east,0 to 1 Year Old,"['1 Water Purifier', '5 Fan', '1 Exhaust Fan', '3 Geyser', '1 Stove', '15 Light', '4 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '3 Wardrobe', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'High Ceiling Height', 'False Ceiling Lighting', 'No open drainage around', 'Recently Renovated', 'Swimming Pool', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Orient Bestech Business Tower', 'Dwarka Expressway', 'SGT University', 'Gurugram Global Heights School', 'Indira Gandhi International Airport', 'Medanta Hospital', 'The Esplanade Mall', 'Taj City Centre Gurugram', 'Appu Ghar Amusement Park', 'Gurgaon Railway Station']"
"3 BHK Flat in Sector 56, Gurgaon",intelligentsia apartment,2.4,12834,"1,870 sqft (174 sqm) Super Built-up Area",S84778506,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-intelligentsia-apartment-sector-56-gurgaon-1870-sq-ft-spid-S84778506,3,3,3,not available,8th   of 9 Floors,north-east,10+ Year Old,"['6 Wardrobe', '1 Exhaust Fan', '4 Geyser', '40 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Piped-gas', 'Visitor Parking', 'Club house / Community Center']","['Shophouse by Kylin', 'Medisca', 'Clock tower', 'HCG CNG Station', 'Icici bank ATM', 'Apollo Pharmacy', 'Hdfc bank', 'Naivedyam Restaurant', ""Carl's Jr."", 'State bank ATM', 'Ansal Institute of Technology', 'Sushant College of Arts & Architecture', 'Sector metro station', 'Surgicare Hospital Gurgaon', 'Kriti Hospital', 'Hong Kong Bazaar Mall', 'Pizza Hut', 'Wat-a-Burger', 'Intellion Park', 'Sanatan Dharm Mandir', 'Two Horizon Center', 'Radhakrishna Shani Mandir', 'Axis bank', 'HUDA Office Complex', 'Anand Hospital Gurgaon', 'Sagar Ratna', 'Indusind bank', 'Citi bank ATM', 'Burger Singh', 'International Tech Park', 'Suncity School', 'pracksht hospital', 'Heera Fuel Station', '222', 'Cafe Tonini', 'IILM', 'State bank of india', 'Indusind bank ATM', 'Arunodaya Deseret Eye Hospital', 'Kotak mahindra bank', 'Hdfc bank and atm', 'Starbucks', 'Iilm University', 'Icici bank', 'Bikanerwala', 'Sector 54 chowk metro station', 'Hdfc bank & atm']"
3 BHK Flats in Sector 65 Gurgaon,emaar mgf emerald floors premier,3.5,24137,"1,450 sqft (134.71 sqm) Carpet Area",L85411254,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-emerald-floors-premier-sector-65-gurgaon-1450-sq-ft-spid-L85411254,3,3,0,not available,4th   of 4 Floors,not available,1 to 5 Year Old,,,"['Delhi International Airport', 'Golf Course Road', 'Sohna Road', 'WorldMark Gurgaon', 'Lemon Tree Hotel', 'CK Birla Hospital']"
"3 BHK Flat in Sector 109, Gurgaon",ats tourmaline,2.07,17107,"1,750 sqft (163 sqm) Super Built-up Area",P81201127,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-tourmaline-sector-109-gurgaon-1750-sq-ft-r1-spid-P81201127,3,3,3+,others,10th   of 27 Floors,east,1 to 5 Year Old,"['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '5 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']","['The Northcap University', 'Global Foyer Mall', 'Dwarka Expressway', 'Dwarka Sector-25 Metro Station', 'Infospace Limited Business Park', 'Delhi Public School', 'BSF Golf Course', 'Manipal Hospital, Palam Vihar', 'Indira Gandhi International Airport', 'Crowne Plaza Gurgaon', 'Nehru Stadium', 'Gurgaon Railway Station']"
"3 BHK Flat in Sector 108, Gurgaon",sobha city,4.29,20704,"2,072 sqft (193 sqm) Super Built-up Area",R82389998,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-2072-sq-ft-r1-spid-R82389998,3,3,2,not available,12nd   of 24 Floors,north,1 to 5 Year Old,"['3 Wardrobe', '6 Fan', '1 Exhaust Fan', '3 Geyser', '1 Stove', '8 Light', '4 AC', '1 Chimney', '1 Modular Kitchen', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Dronacharya Government College', 'Sadar Market', 'DDA Golf Course Dwarka', 'BSF Golf Course', 'Safdarjung Airport', 'Indira Gandhi International Airport', 'Chintels Corporate Park', 'Imperial Heritage School', 'Manipal Hospital, Palam Vihar, Gurugram', 'Bijwasan Railway Station', 'Dwarka Sector 25 Metro Station', 'Country Inn & Suites by Sector 12', 'Pacific D21 Mall']"
