property_id,property_type,link,society,sector,price_in_cr,price_per_sqft,areawithtype,plot_area,super_built_up_area,built_up_area,carpet_area,bedrooms,bathrooms,balcony,floornum,study_room,servant_room,store_room,pooja_room,others,facing,furnishing_type,age_possession_category,features,luxury_score
Z82002722,Independent House,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-ss-linden-floors-sector-84-gurgaon-1800-sq-ft-r1-spid-Z82002722,SS Linden Floors,sector 84,2.76,15333.0,1800 sqft (167.23 sqm) Carpet Area,,,,1800.0,4,4,2,4,0,0,0,0,1,north-east,Unfurnished,New Property,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",1.1055379364438354
P84485374,Independent Builder Floor,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-block-e-dlf-city-phase-1-gurgaon-2700-sq-ft-spid-P84485374,"Block E DLF City Phase 1, Gurgaon",sector 26,4.25,15741.0,"2,700 sqft (251 sqm) Carpet Area",,,,2700.0,3,3,2,1,0,0,0,0,0,not available,Unfurnished,New Property,,0.0
X83510988,Independent Builder Floor,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-sushant-lok-phase-1-gurgaon-4000-sq-ft-spid-X83510988,"Sushant Lok Phase 1, Gurgaon",sector 43,5.25,13125.0,"4,000 sqft (372 sqm) Carpet Area",,,,4000.0,4,4,2,4,1,1,0,1,1,east,Furnished,Relatively New,"['Feng Shui / Vaastu Compliant', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Park', 'Piped-gas', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",0.35998079434360797
Q83709812,Independent House,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-2-sector-109-gurgaon-4500-sq-ft-spid-Q83709812,International City by SOBHA Phase 2,sector 109,9.0,20000.0,4500 sqft (418.06 sqm) Plot Area,4500.0,,,,4,5,3+,2,0,1,0,0,0,west,Unfurnished,Relatively New,"['Maintenance Staff', 'Swimming Pool', 'No open drainage around', 'Park', 'Bank Attached Property', 'Security Personnel', 'Low Density Society', 'Fitness Centre / GYM', 'Club house / Community Center']",0.20455678832893862
R84594132,Flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-meridien-sector-106-gurgaon-2002-sq-ft-spid-R84594132,godrej meridien,sector 106,3.11,15534.0,"2,002 sqft (186 sqm) Built-up Area",,,2002.0,,3,3,3,3,0,1,0,0,0,east,Unfurnished,New Property,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Piped-gas', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center']",0.0
S84462320,Independent House,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sector-57-gurgaon-1449-sq-ft-spid-S84462320,HUDA Sector 57,sector 57,5.5,37957.0,1449 sqft (134.62 sqm) Plot Area,1449.0,,,,6,6,3+,3,1,1,1,0,0,east,Semi-Furnished,Relatively New,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",1.1674751726714148
F84562904,Independent Builder Floor,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-sushant-lok-phase-1-gurgaon-2701-sq-ft-spid-F84562904,"Sushant Lok Phase 1, Gurgaon",sector 43,3.75,13883.0,"2,701 sqft (251 sqm) Super Built-up Area",,2701.0,,,4,4,2,1,0,1,0,0,1,south-east,Semi-Furnished,New Property,"['Feng Shui / Vaastu Compliant', 'Water purifier', 'Lift(s)', 'High Ceiling Height', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Visitor Parking', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting']",0.8033121739446527
C81063525,Independent House,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-block-g-rajendra-park-gurgaon-870-sq-ft-r1-spid-C81063525,urban Home,sector 105,1.26,14664.0,860 sqft (79.9 sqm) Plot Area | 870 sqft (80.83 sqm) Built-up Area | 850 sqft (78.97 sqm) Carpet Area,860.0,,870.0,850.0,3,3,1,2,0,0,0,0,1,west,Unfurnished,Under Construction,"['Feng Shui / Vaastu Compliant', 'Waste Disposal']",0.2454587427462726
L84149074,Independent House,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-eros-rosewood-city-sector-49-gurgaon-1700-sq-ft-spid-L84149074,Eros Rosewood City,sector 49,4.3,31851.0,1350 sqft (125.42 sqm) Plot Area | 1700 sqft (157.94 sqm) Built-up Area | 1650 sqft (153.29 sqm) Carpet Area,1350.0,,1700.0,1650.0,3,3,2,2,0,0,1,1,0,east,Unfurnished,Moderately Old,"['Maintenance Staff', 'False Ceiling Lighting', 'Park', 'Security Personnel', 'Low Density Society']",0.30254744831530667
I84940266,Independent House,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-emaar-mgf-the-vilas-dlf-cyber-city-gurgaon-360-sq-ft-spid-I84940266,Emaar MGF The Vilas,sector 24,21.0,583333.0,360 sqft (33.45 sqm) Plot Area | 6800 sqft (631.74 sqm) Carpet Area,360.0,,,6800.0,5,6,3+,2,1,1,1,1,0,east,Furnished,Relatively New,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",1.2653252411319837
