feature,feature_importance
area,0.4488328432915322
bedrooms,0.17097547320367457
property_type,0.15994308004168037
sector,0.10008275125812773
bathrooms,0.04234119930776911
luxury_score,0.01611947861898142
floornum,0.01577330942317827
servant_room,0.013019736063200444
furnishing_type,0.007048745951290738
facing,0.0062382715378630806
age_possession,0.00519975206117481
balcony,0.004157045574244748
luxury_category,0.0021890712766548864
study_room,0.0021633277584826474
pooja_room,0.0019379889860613956
store_room,0.001867198892933229
others,0.0016789665005964248
floornum_category,0.0004317602525539537
