feature,correlation_coeff,rf_importance,gb_importance,permutation_importance,rfe_score
property_type,0.1462140992167102,0.11530394371274041,0.15920382613601372,0.24996060660522684,0.11530394371274041
sector,-0.03220191470844213,0.09186536254586382,0.08846510725617876,0.12813517268460453,0.09186536254586382
area,0.20713664055700612,0.4067863386839716,0.4498369934735922,0.5319217023245935,0.4067863386839716
bedrooms,0.17551494052799538,0.24123101097330968,0.1662673456987158,0.035172525169363054,0.24123101097330968
bathrooms,0.18944009283434873,0.03615547104199833,0.08183294282446898,0.015220912322610781,0.03615547104199833
balcony,0.08035973310124747,0.006646632133803074,0.001934973606645997,0.001399944422726847,0.006646632133803074
floornum,-0.03858427618218742,0.020013859683190215,0.008165289864510554,0.014900228461822096,0.020013859683190215
study_room,0.09051348999129678,0.0030015844241574833,0.0025115796871979196,0.00013856249841770314,0.0030015844241574833
servant_room,0.10443864229765014,0.008817631782294532,0.023178898360136816,0.011264782328075892,0.008817631782294532
store_room,0.09921671018276765,0.0034497118946128337,0.0006227737881223573,-5.3402005615109555e-05,0.0034497118946128337
pooja_room,0.09428488540760083,0.003051913452522781,0.0014082532136882081,0.00023987582551181214,0.003051913452522781
others,0.006672468813460981,0.002969504027509033,0.00021027143362422338,0.0005665865137434104,0.002969504027509033
facing,-0.0040615027560197275,0.011265100190285466,0.0007339818812242979,0.0016889038896570937,0.011265100190285466
furnishing_type,-0.034232666086451986,0.010560948661667797,0.004590019787898549,0.002483066693928809,0.010560948661667797
age_possession,-0.01740644038294169,0.007629301125755616,0.003633895331085908,0.0019065106621020983,0.007629301125755616
luxury_score,-0.005802146794313897,0.026523425412600977,0.007166673554645019,0.004264390096078708,0.026523425412600977
luxury_category,-0.009283434870902236,0.0038864259892570363,0.00023717410225056537,0.0007462590258549066,0.0038864259892570363
floornum_category,-0.05221932114882507,0.0008418342644593473,0.0,4.3372481297120266e-05,0.0008418342644593473
