total_area_sqft,property_type,sector,plot_area_missing,bathrooms,society,area_per_bedroom,servant_room,bedrooms,furnishing_type,balcony,facing,luxury_category,age_possession,pooja_room,price_in_cr
1800.0,Independent House,sector 84,1,4,SS Linden Floors,450.0,0,4,Unfurnished,2,north-east,Luxury,New Property,0,2.76
2700.0,Independent Builder Floor,sector 26,1,3,"Block E DLF City Phase 1, Gurgaon",900.0,0,3,Unfurnished,2,not available,Budget,New Property,0,4.25
4000.0,Independent Builder Floor,sector 43,1,4,"Sushant Lok Phase 1, Gurgaon",1000.0,1,4,Furnished,2,east,Budget,Relatively New,1,5.25
4500.0,Independent House,sector 109,0,5,International City by SOBHA Phase 2,1125.0,1,4,Unfurnished,3+,west,Budget,Relatively New,0,9.0
2002.0,Flat,sector 106,1,3,godrej meridien,667.3333333333334,1,3,Unfurnished,3,east,Budget,New Property,0,3.11
1449.0,Independent House,sector 57,0,6,HUDA Sector 57,241.5,1,6,Semi-Furnished,3+,east,Luxury,Relatively New,0,5.5
2701.0,Independent Builder Floor,sector 43,1,4,"Sushant Lok Phase 1, Gurgaon",675.25,1,4,Semi-Furnished,2,south-east,Semi-Luxury,New Property,0,3.75
860.0,Independent House,sector 105,0,3,urban Home,286.6666666666667,0,3,Unfurnished,1,west,Budget,Under Construction,0,1.26
1350.0,Independent House,sector 49,0,3,Eros Rosewood City,450.0,0,3,Unfurnished,2,east,Budget,Moderately Old,1,4.3
3618.0,Independent Builder Floor,sector 26,1,5,TOP FLOOR TERRACE,904.5,1,4,Semi-Furnished,2,north,Semi-Luxury,New Property,1,7.15
4500.0,Independent House,sector 25,0,9,"DLF Phase 2, Gurgaon",562.5,1,8,Semi-Furnished,3,east,Semi-Luxury,Relatively New,1,16.0
1689.0,Flat,sector 102,1,3,adani m2k oyster grande,563.0,0,3,Unfurnished,3,east,Budget,Moderately Old,0,2.5
1100.0,Independent House,sector 63,0,2,"Sector 63A, Gurgaon",366.6666666666667,0,3,Unfurnished,1,not available,Budget,Moderately Old,0,0.35
2340.0,Independent House,sector 49,0,5,SS Aaron Ville,585.0,1,4,Semi-Furnished,3,north-east,Luxury,Moderately Old,1,6.0
2844.0,Independent Builder Floor,sector 26,1,4,Luxury Homes By Horiizon Ventures,711.0,1,4,Unfurnished,2,north-east,Semi-Luxury,Relatively New,1,5.0
2250.0,Independent House,sector 33,0,4,Central Park Flower Valley Fleur Villas,562.5,1,4,Semi-Furnished,3,east,Luxury,Relatively New,1,8.0
1900.0,Independent Builder Floor,sector 65,1,3,Emaar Emerald Hills,633.3333333333334,1,3,Unfurnished,2,east,Semi-Luxury,Relatively New,0,3.3
1611.0,Independent Builder Floor,sector 93,1,3,DLF Gardencity Enclave,537.0,1,3,Unfurnished,3,north-east,Semi-Luxury,New Property,0,1.9
1274.0,Independent Builder Floor,sector 33,1,2,Central Park Flower Valley Cerise Floors,637.0,0,2,Semi-Furnished,3,east,Budget,New Property,0,1.65
2160.0,Independent House,sector 50,0,4,"Nirvana Country, Gurgaon",540.0,1,4,Semi-Furnished,3+,north,Luxury,Moderately Old,1,9.65
1426.0,Flat,sector 50,1,3,unitech fresco,713.0,0,2,Semi-Furnished,2,east,Luxury,Moderately Old,0,2.3
1480.0,Flat,sector 86,1,2,microtek greenburg,740.0,1,2,Furnished,2,north-east,Luxury,Relatively New,1,2.1
1548.0,Independent House,sector 57,0,2,"Sector 57, Gurgaon",774.0,1,2,Unfurnished,3,north,Semi-Luxury,Old Property,1,4.4
2430.0,Independent House,sector 26,0,6,Park Facing Villa,405.0,1,6,Furnished,3+,east,Semi-Luxury,Relatively New,1,11.0
1650.0,Independent Builder Floor,sector 43,1,4,DLF The Grove,412.5,1,4,Furnished,2,east,Semi-Luxury,New Property,1,8.5
1930.0,Flat,sector 86,1,3,dlf new town heights 2,643.3333333333334,1,3,Unfurnished,3,north,Budget,Old Property,1,2.1
1494.0,Flat,sector 89,1,3,m3m soulitude,498.0,0,3,Unfurnished,3,east,Luxury,Relatively New,0,1.6
