property_type,society,sector,price_in_cr,total_area_sqft,bedrooms,bathrooms,balcony,servant_room,store_room,facing,furnishing_type,age_possession,area_bedroom_ratio,luxury_category,floornum_category
Independent Builder Floor,"Sushant Lok Phase 1, Gurgaon",sector 43,3.75,2701.0,4,4,2,1,0,south-east,Semi-Furnished,New Property,675.25,Semi-Luxury,Low-rise
Independent House,"Sohna Road, Gurgaon",Sohna Road Belt,0.75,1800.0,5,3,0,0,0,not available,Unfurnished,Moderately Old,360.0,Budget,Low-rise
Independent House,Tata Primanti,sector 72,8.5,4500.0,4,4,3+,1,0,east,Unfurnished,Relatively New,1125.0,Luxury,Low-rise
Flat,dlf ridgewood estate,sector 28,2.95,1370.0,3,3,1,0,0,not available,Unfurnished,Old Property,456.6666666666667,Semi-Luxury,Low-rise
Independent House,"Behrampur, Gurgaon",sector 71,0.41,1044.0,3,2,2,0,0,north-west,Unfurnished,Relatively New,348.0,Budget,Low-rise
Flat,shapoorji pallonji joyville gurugram,sector 102,2.65,1852.0,3,3,3,0,0,north,Unfurnished,New Property,617.3333333333334,Semi-Luxury,Mid-rise
Independent Builder Floor,Central Park Flower Valley Cerise Floors,sector 33,1.75,1255.0,2,2,3+,0,0,east,Unfurnished,Relatively New,627.5,Semi-Luxury,Low-rise
Independent Builder Floor,"Sector 45, Gurgaon",sector 45,2.8,1805.0,3,3,2,1,0,north,Semi-Furnished,New Property,601.6666666666666,Budget,Low-rise
Flat,dlf regal gardens,sector 90,2.0,1737.0,3,3,3,0,0,east,Unfurnished,Moderately Old,579.0,Luxury,Mid-rise
Flat,signature the serenas,Greater Gurugram - Sohna Region,0.65,655.0,2,2,3,0,0,east,Unfurnished,New Property,327.5,Semi-Luxury,Mid-rise
Independent House,"Malibu Town, Gurgaon",sector 47,15.0,4500.0,5,6,3+,1,1,north-west,Semi-Furnished,Moderately Old,900.0,Luxury,Low-rise
Flat,adani m2k oyster grande,sector 102,3.65,3198.0,4,5,3+,1,0,south-west,Unfurnished,Relatively New,799.5,Luxury,Mid-rise
Independent House,"Sector 4, Gurgaon",sector 4,6.5,4500.0,4,4,2,0,0,north-west,Unfurnished,Old Property,1125.0,Budget,Low-rise
Independent Builder Floor,"South City 1, Gurgaon",sector 41,4.25,3240.0,4,4,2,1,0,north-east,Semi-Furnished,New Property,810.0,Semi-Luxury,Low-rise
Flat,signature global city,sector 37,1.65,1250.0,3,3,3,0,0,not available,Unfurnished,New Property,416.6666666666667,Budget,Low-rise
Independent Builder Floor,"Sector 43, Gurgaon",sector 43,3.9,2367.0,3,4,3,1,1,north,Semi-Furnished,Relatively New,789.0,Semi-Luxury,Low-rise
Independent House,"DLF Phase 2, Gurgaon",sector 25,9.4,1935.0,5,6,2,1,0,north-east,Semi-Furnished,Relatively New,387.0,Luxury,Low-rise
Flat,bestech park view spa next,sector 67,2.99,1790.0,3,3,3,1,0,east,Semi-Furnished,Moderately Old,596.6666666666666,Luxury,Low-rise
Independent House,"Block Q South City 1, Gurgaon",sector 52,7.2,1080.0,4,4,3+,0,0,not available,Unfurnished,Moderately Old,270.0,Budget,Low-rise
Independent Builder Floor,Brand New Ultra Luxurious Builder Floor,sector 26,9.0,4518.0,4,4,2,1,0,east,Semi-Furnished,New Property,1129.5,Luxury,Low-rise
Flat,m3m heights,sector 65,3.41,1828.0,3,3,3,0,0,north-east,Semi-Furnished,Relatively New,609.3333333333334,Luxury,Mid-rise
Independent Builder Floor,Ardee City,sector 52,2.3,2718.0,3,4,2,1,0,west,Unfurnished,Old Property,906.0,Semi-Luxury,Low-rise
Flat,godrej meridien,sector 106,3.11,2002.0,3,3,3,1,0,east,Unfurnished,New Property,667.3333333333334,Semi-Luxury,Low-rise
Independent House,"Sector 10A, Gurgaon",sector 10,1.65,2700.0,4,4,0,0,0,not available,Unfurnished,Old Property,675.0,Budget,Low-rise
Flat,m3m soulitude,sector 89,1.6,1494.0,3,3,3,0,0,east,Unfurnished,Relatively New,498.0,Luxury,Low-rise
Independent Builder Floor,Malibu Towne,sector 47,5.7,3240.0,4,5,3+,1,0,east,Semi-Furnished,New Property,810.0,Budget,Low-rise
Flat,dlf park place,sector 54,7.2,1983.0,3,4,3+,1,0,west,Unfurnished,Moderately Old,661.0,Semi-Luxury,Low-rise
Independent Builder Floor,Ansal Plaza,sector 23,2.6,1450.0,3,3,2,0,0,west,Unfurnished,New Property,483.3333333333333,Semi-Luxury,Low-rise
Flat,hero homes,sector 104,2.0,1389.0,3,2,2,0,0,north-west,Unfurnished,New Property,463.0,Semi-Luxury,High-rise
Independent House,urban Home,sector 105,1.26,870.0,3,3,1,0,0,west,Unfurnished,Under Construction,290.0,Budget,Low-rise
Independent House,Eros Rosewood City,sector 49,5.7,1710.0,4,4,3,1,0,east,Unfurnished,Old Property,427.5,Semi-Luxury,Low-rise
Flat,dlf the crest,sector 54,18.05,3116.0,4,6,3+,1,1,east,Semi-Furnished,Relatively New,779.0,Budget,High-rise
Independent Builder Floor,"Sector 45, Gurgaon",sector 45,4.0,3078.0,4,4,2,1,0,north-west,Semi-Furnished,New Property,769.5,Budget,Low-rise
Flat,experion the heartsong,sector 108,3.2,2631.0,4,5,3+,1,0,east,Unfurnished,Relatively New,657.75,Luxury,Mid-rise
Independent House,"Sector 46, Gurgaon",sector 46,15.0,4500.0,4,3,3,0,0,not available,Unfurnished,Old Property,1125.0,Budget,Low-rise
Flat,tata primanti,sector 72,8.5,4500.0,4,4,3+,1,1,north-east,Furnished,Moderately Old,1125.0,Luxury,Low-rise
Independent House,"DLF Phase 1, Gurgaon",sector 26,7.0,1800.0,4,4,3+,1,0,north-east,Unfurnished,Old Property,450.0,Semi-Luxury,Low-rise
Independent House,"DLF Phase 2, Gurgaon",sector 25,18.0,4500.0,8,9,2,1,0,north,Semi-Furnished,Relatively New,562.5,Budget,Low-rise
Independent House,Block A,sector 45,15.0,4518.0,4,5,3+,1,0,south-east,Semi-Furnished,Old Property,1129.5,Semi-Luxury,Low-rise
Independent Builder Floor,DLF City Plots Phase 2,sector 25,17.75,6500.0,5,6,3,1,1,north,Semi-Furnished,New Property,1300.0,Semi-Luxury,Low-rise
Flat,vipul lavanya,sector 81,1.39,1560.0,3,3,3,0,0,east,Unfurnished,Moderately Old,520.0,Luxury,Mid-rise
Independent Builder Floor,"Sushant Lok 2,Sector 55, Gurgaon",sector 55,3.0,1800.0,3,3,2,0,0,not available,Unfurnished,New Property,600.0,Budget,Low-rise
