property_type,society,sector,price_in_cr,total_area_sqft,bedrooms,bathrooms,balcony,floornum_category,study_room,servant_room,store_room,pooja_room,others,facing,furnishing_type,age_possession,super_built_up_area_missing,built_up_area_missing,carpet_area_missing,plot_area_missing,area_per_bedroom,dense_house_flag,luxury_category
Independent House,SS Linden Floors,sector 84,2.76,1800.0,4,4,2,Low-rise,0,0,0,0,1,north-east,Unfurnished,New Property,1,1,0,1,450.0,0,Luxury
Independent Builder Floor,"Block E DLF City Phase 1, Gurgaon",sector 26,4.25,2700.0,3,3,2,Low-rise,0,0,0,0,0,not available,Unfurnished,New Property,1,1,0,1,900.0,0,Budget
Independent Builder Floor,"Sushant Lok Phase 1, Gurgaon",sector 43,5.25,4000.0,4,4,2,Low-rise,1,1,0,1,1,east,Furnished,Relatively New,1,1,0,1,1000.0,0,Budget
Independent House,International City by SOBHA Phase 2,sector 109,9.0,4500.0,4,5,3+,Low-rise,0,1,0,0,0,west,Unfurnished,Relatively New,1,1,1,0,1125.0,0,Budget
Flat,godrej meridien,sector 106,3.11,2002.0,3,3,3,Low-rise,0,1,0,0,0,east,Unfurnished,New Property,1,0,1,1,667.3333333333334,0,Budget
Independent House,HUDA Sector 57,sector 57,5.5,1449.0,6,6,3+,Low-rise,1,1,1,0,0,east,Semi-Furnished,Relatively New,1,1,1,0,241.5,1,Luxury
Independent Builder Floor,"Sushant Lok Phase 1, Gurgaon",sector 43,3.75,2701.0,4,4,2,Low-rise,0,1,0,0,1,south-east,Semi-Furnished,New Property,0,1,1,1,675.25,0,Semi-Luxury
Independent House,urban Home,sector 105,1.26,860.0,3,3,1,Low-rise,0,0,0,0,1,west,Unfurnished,Under Construction,1,0,0,0,286.6666666666667,0,Budget
Independent House,Eros Rosewood City,sector 49,4.3,1350.0,3,3,2,Low-rise,0,0,1,1,0,east,Unfurnished,Moderately Old,1,0,0,0,450.0,0,Budget
Independent Builder Floor,TOP FLOOR TERRACE,sector 26,7.15,3618.0,4,5,2,Low-rise,0,1,0,1,0,north,Semi-Furnished,New Property,0,1,1,1,904.5,0,Semi-Luxury
Independent House,"DLF Phase 2, Gurgaon",sector 25,16.0,4500.0,8,9,3,Low-rise,1,1,0,1,1,east,Semi-Furnished,Relatively New,1,1,1,0,562.5,0,Semi-Luxury
Flat,adani m2k oyster grande,sector 102,2.5,1689.0,3,3,3,Mid-rise,0,0,0,0,0,east,Unfurnished,Moderately Old,0,1,1,1,563.0,0,Budget
Independent House,"Sector 63A, Gurgaon",sector 63,0.35,1100.0,3,2,1,Low-rise,0,0,0,0,0,not available,Unfurnished,Moderately Old,1,1,1,0,366.6666666666667,0,Budget
