property_name,link,society,price,area
"4 Bedroom House in Sector 4, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-4500-sq-ft-spid-N80213331,"Sector 4, Gurgaon",₹6.6 Cr,"₹14,667 /sqft"
"6 Bedroom House in DLF Phase 1, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-1-gurgaon-11000-sq-ft-spid-Q84155382,North East & Park Facing Corner 18 meter wide road,₹25 Cr,"₹22,727 /sqft"
"2 Bedroom House in Sector 15 Part 2, Gurgaon",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-sector-15-part-2-gurgaon-4518-sq-ft-spid-S82406206,"Sector 15 Part 2, Gurgaon",₹18.99 Cr,"₹42,031 /sqft"
"3 Bedroom House in Jhajjar Road, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-jhajjar-road-gurgaon-4500-sq-ft-spid-J84873064,"Green Heritage Villas, Jhajjar",₹3.39 Cr,"₹3,766 /sqft"
"5 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-sobha-international-city-phase-3-sector-109-gurgaon-3600-sq-ft-spid-Q83769064,Sobha International City Phase 3,₹14 Cr,"₹38,889 /sqft"
"3 Bedroom House in B Block Pocket B Palam Vihar, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-b-block-pocket-b-palam-vihar-gurgaon-594-sq-ft-spid-G84765628,"B Block Pocket B Palam Vihar, Gurgaon",₹2.25 Cr,"₹37,879 /sqft"
"4 Bedroom House in Sector 4, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-2250-sq-ft-spid-O83611144,"Sector 4, Gurgaon",₹4.5 Cr,"₹20,000 /sqft"
"13 Bedroom House in Block S Uppals Southend, Gurgaon",https://www.99acres.com/13-bhk-bedroom-independent-house-villa-for-sale-in-block-s-uppals-southend-gurgaon-2799-sq-ft-spid-V83888702,"Block S Uppals Southend, Gurgaon",₹12 Cr,"₹42,872 /sqft"
"4 Bedroom House in Sector 48, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vipul-tatvam-villa-sector-48-gurgaon-3240-sq-ft-spid-H84025294,Vipul Tatvam Villa,₹11 Cr,"₹33,951 /sqft"
"4 Bedroom House in Sector 4, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-1440-sq-ft-spid-G83610392,"Sector 4, Gurgaon",₹3.4 Cr,"₹23,611 /sqft"
"6 Bedroom House in Sector 81, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-bestech-park-view-grand-spa-sector-81-gurgaon-7000-sq-ft-spid-V83784738,Bestech Park View Grand Spa,₹14 Cr,"₹3,11,111 /sqft"
"5 Bedroom House in Rosewood City, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-rosewood-city-gurgaon-540-sq-ft-spid-O82929712,"Rosewood City, Gurgaon",₹2.9 Cr,"₹53,703 /sqft"
"3 Bedroom House in Sector 4, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-1440-sq-ft-spid-B84115094,"Sector 4, Gurgaon",₹3.4 Cr,"₹23,611 /sqft"
"5 Bedroom House in Sector 63A, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-anant-raj-estates-sector-63a-gurgaon-2700-sq-ft-r7-spid-O63642222,Anant Raj Estates,₹11.75 Cr,"₹43,518 /sqft"
"5 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-1-sector-109-gurgaon-2430-sq-ft-spid-W83603892,International City by Sobha Phase 1,₹9.1 Cr,"₹37,449 /sqft"
"4 Bedroom House in Sector 4, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-4500-sq-ft-spid-T84094896,"Sector 4, Gurgaon",₹7.65 Cr,"₹17,000 /sqft"
"5 Bedroom House in A Block Sushant Lok Phase 1, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-a-block-sushant-lok-phase-1-gurgaon-4518-sq-ft-spid-I83764552,"A Block Sushant Lok Phase 1, Gurgaon",₹22.5 Cr,"₹49,801 /sqft"
"5 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-1-sector-109-gurgaon-52335-sq-ft-spid-Z83360966,International City by Sobha Phase 1,₹14 Cr,"₹38,889 /sqft"
"3 Bedroom House in Sector-33 Sohna, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-central-park-flower-valley-sector-33-sohna-gurgaon-2250-sq-ft-spid-Q83861708,Central Park Flower Valley,₹7.75 Cr,"₹34,444 /sqft"
"3 Bedroom House in Sector 48, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-vipul-tatvam-villa-sector-48-gurgaon-2583-sq-ft-spid-X83373130,Vipul Tatvam Villa,₹8.75 Cr,"₹33,875 /sqft"
"6 Bedroom House in DLF Phase 2, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-2-gurgaon-3375-sq-ft-spid-T84373918,"DLF Phase 2, Gurgaon",₹13 Cr,"₹38,518 /sqft"
"3 Bedroom House in Sector 4, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-2250-sq-ft-spid-F84375458,"Sector 4, Gurgaon",₹4.5 Cr,"₹20,000 /sqft"
"4 Bedroom House in Block N, Mayfield garden, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-block-n-mayfield-garden-gurgaon-2700-sq-ft-spid-B84870198,"Block N, Mayfield garden, Gurgaon",₹8.5 Cr,"₹31,481 /sqft"
"6 Bedroom House in V Block DLF Phase 3, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-v-block-dlf-phase-3-gurgaon-2844-sq-ft-spid-D84470230,"V Block DLF Phase 3, Gurgaon",₹11 Cr,"₹38,678 /sqft"
"4 Bedroom House in Sector 4, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-1640-sq-ft-spid-D84013440,"Sector 4, Gurgaon",₹3.6 Cr,"₹21,951 /sqft"
