property_name,society,price,area,areawithtype,property_id,link,bedrooms,bathrooms,balcony,additional_room,floor_info,facing,property_age,furnishing_details,features,nearby_location
"4 BHK Independent Builder Floor in Sushant Lok Phase 1, Gurgaon",Brand New Builder Floor,₹3.85 Cr,"₹14,259 /sqft","2,700 sqft (251 sqm) Super Built-up Area",O85021804,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-sushant-lok-phase-1-gurgaon-2700-sq-ft-spid-O85021804,4 Bedrooms,4 Bathrooms,2 Balconies,Servant Room,2nd   of 4 Floors,North-East,0 to 1 Year Old,"['1 Water Purifier', '6 Fan', '1 Exhaust Fan', '5 Geyser', '1 Stove', '8 Light', '5 AC', '1 Chimney', '1 Modular Kitchen', '5 Wardrobe', '1 Microwave', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Water purifier', 'Centrally Air Conditioned', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal']","['Bahrisons library', 'Hanuman Mandir', 'New Life Church', 'Stones2milestones', 'Hdfc bank ATM', 'School of Inspired Leadership SOIL', 'CCD', 'Ncr library', 'Arihant Hospital', 'Bharat petroleum', 'Kotak mahindra bank ATM', 'Balaji Vegetarian Paradise', 'Huda city centre metro station', 'Dawnbit', 'Icici bank', 'Sagar Ratna', 'Rbs ATM', 'PK Online', 'Cafe Tonini', ""Carl's Jr."", 'Sector 42-43 metro station', 'Pernod Ricard Charitable Dispensary', 'Sitaram Bhartia', 'Two Horizon Center', 'Dr. Kutbuddin Akbary', 'Max Hospital', 'Drunken Monkey', 'Sector 53-54 metro station', 'Chikitsa', 'Clock tower', 'Dr. Naval Mendiratta', 'Guardian Pharmacy', 'Mantis Eye LLP', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Blue Tokai Coffee Roasters', 'Gupta', 'Hdfc ATM', 'PWO house', 'The Chicken Boat', 'St. Angels Jr', 'Axis bank', 'Hdfc bank', 'Paras Hospital Gurgaon', 'Shophouse by Kylin', 'St. Angels Sr', 'Starbucks', 'Standard chartered ATM', 'Naveidyam']"
"4 BHK Independent Builder Floor in Sector 102, Gurgaon",BPTP Amstoria,₹3.4 Cr,"₹17,000 /sqft","2,000 sqft (186 sqm) Carpet Area",V85303340,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-bptp-amstoria-sector-102-gurgaon-2000-sq-ft-spid-V85303340,4 Bedrooms,4 Bathrooms,3+ Balconies,,1st   of 4 Floors,North-East,1 to 5 Year Old,"['4 Wardrobe', '5 Fan', '1 Exhaust Fan', '4 Geyser', '1 Microwave', '20 Light', '1 Curtains', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Dining Table', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Park', 'Piped-gas', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","['Conscient One Mall', ""Domino's Pizza"", 'Daultabad Village Park', 'Imperial Heritage School', 'IGI Airport', 'Early Basket Grocery shop', 'Dwarka Expressway', 'Gurgaon Old Railway Station', 'Aradhya Cricket Club Gurgaon', 'Skylark Cricket Academy', 'Yashroop Hospital']"
"4 BHK Independent Builder Floor in A Block Sushant Lok Phase 1, Gurgaon","A Block Sushant Lok Phase 1, Gurgaon",₹3.66 Cr,"₹13,811 /sqft","2,650 sqft (246 sqm) Super Built-up Area",O83672012,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-a-block-sushant-lok-phase-1-gurgaon-2650-sq-ft-spid-O83672012,4 Bedrooms,4 Bathrooms,2 Balconies,Study Room,1st   of 4 Floors,East,1 to 5 Year Old,"['3 Fan', '1 Fridge', '5 Geyser', '1 Stove', '5 Light', '4 AC', '4 TV', '1 Modular Kitchen', '3 Bed', '5 Wardrobe', '1 Sofa', '1 Washing Machine', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Piped-gas', 'Visitor Parking', 'Waste Disposal']","['Bahrisons library', 'Hanuman Mandir', 'New Life Church', 'Stones2milestones', 'Hdfc bank ATM', 'School of Inspired Leadership SOIL', 'CCD', 'Ncr library', 'Arihant Hospital', 'Bharat petroleum', 'Kotak mahindra bank ATM', 'Balaji Vegetarian Paradise', 'Huda city centre metro station', 'Dawnbit', 'Icici bank', 'Sagar Ratna', 'Rbs ATM', 'PK Online', 'Cafe Tonini', ""Carl's Jr."", 'Sector 42-43 metro station', 'Pernod Ricard Charitable Dispensary', 'Sitaram Bhartia', 'Two Horizon Center', 'Dr. Kutbuddin Akbary', 'Max Hospital', 'Drunken Monkey', 'Sector 53-54 metro station', 'Chikitsa', 'Clock tower', 'Dr. Naval Mendiratta', 'Guardian Pharmacy', 'Mantis Eye LLP', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Blue Tokai Coffee Roasters', 'Gupta', 'Hdfc ATM', 'PWO house', 'The Chicken Boat', 'St. Angels Jr', 'Axis bank', 'Hdfc bank', 'Paras Hospital Gurgaon', 'Shophouse by Kylin', 'St. Angels Sr', 'Starbucks', 'Standard chartered ATM', 'Naveidyam']"
"4 BHK Independent Builder Floor in DLF Phase 2, Gurgaon","DLF Phase 2, Gurgaon",₹5.25 Cr,"₹19,444 /sqft","2,700 sqft (251 sqm) Carpet Area",K85623978,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-2700-sq-ft-spid-K85623978,4 Bedrooms,5 Bathrooms,3 Balconies,"Pooja Room,Study Room,Servant Room,Others",2nd   of 4 Floors,East,1 to 5 Year Old,"['1 Water Purifier', '12 Fan', '1 Exhaust Fan', '1 Dining Table', '6 Geyser', '1 Stove', '26 Light', '7 AC', '1 Modular Kitchen', '1 Chimney', '18 Wardrobe', '1 Microwave', 'No Bed', 'No Curtains', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Park', 'Piped-gas', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","['Gurgaon Central Mall', 'Hanuman Mandir', 'PVR Cinames', 'Privat Hospital', 'Sidhesh Hospital Gurgaon', 'Sikandarpur metro station', 'Axis bank ATM', 'Indusind bank', 'Dlf phase 2 metro station', 'Mg road metro station', 'Krishna Family Clinic', 'DLF Cyber City Phase II', 'DT Cinemas', 'KPMG', 'Pan Bangkok', 'Emaar Business Park', 'Uma Sanjeevani Health Centre And Hospital', 'Abn amro bank', 'PVR Metropolitan', 'Cosmodentz Dental Clinic', 'Kailash Nursing Home Gurgaon', 'Lord krishna bank', 'Jain Bhawan', 'Hsbc bank', 'Microsoft', 'Kotak mahindra bank', 'Divine Look Clinic Centre 1', 'Lord Krishna Hospital', '98.4', 'CEVA Logistics India', 'Guardian', 'Sikandarpur rmrg metro station', 'MGF Metropolitan', 'Arya Samaj Mandir', 'Surgi Center Clinic', 'Food Court', 'American Montessori', 'Durga Poly Clinic', 'NutrioBox Gurugram', 'Mukesh Dhaba', 'Barbecue Grill', 'Vodafone belvedere towers metro station', 'Taikisha Engineering PVT', 'Boston Consulting Group', 'Axis bank', 'Hdfc bank', 'Religare Wellness', 'Sikanderpur metro station']"
"4 BHK Independent Builder Floor in DLF Phase 2, Gurgaon",PARK FACING FLOOR,₹5 Cr,"₹12,500 /sqft","4,000 sqft (372 sqm) Carpet Area",E85624224,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-4000-sq-ft-spid-E85624224,4 Bedrooms,5 Bathrooms,2 Balconies,"Pooja Room,Study Room,Servant Room,Others",3rd   of 4 Floors,East,0 to 1 Year Old,"['11 Wardrobe', '13 Fan', '1 Exhaust Fan', '8 Geyser', '1 Microwave', '1 Stove', '13 Light', '10 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Park', 'Piped-gas', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","['Gurgaon Central Mall', 'PVR Cinames', 'Privat Hospital', 'Indusind bank', 'Sikandarpur metro station', 'Axis bank ATM', 'Parishram Resources', 'Dlf phase 2 metro station', 'Mg road metro station', 'DLF Cyber City Phase II', 'DT Cinemas', 'KPMG', 'Pan Bangkok', 'Emaar Business Park', 'Uma Sanjeevani Health Centre And Hospital', 'Abn amro bank', 'PVR Metropolitan', 'Cosmodentz Dental Clinic', 'Central bank atm teste 001112', 'Kailash Nursing Home Gurgaon', 'Lord krishna bank', 'Jain Bhawan', 'Hsbc bank', 'Microsoft', 'Central bank ATM', 'Kotak mahindra bank', 'Lord Krishna Hospital', '98.4', 'CEVA Logistics India', 'Guardian', 'Neelkanth Medico', 'MGF Metropolitan', 'Arya Samaj Mandir', 'Surgi Center Clinic', 'Bain & Company', 'American Montessori', 'Standard chartered bank', 'NutrioBox Gurugram', 'Mukesh Dhaba', 'Taikisha Engineering PVT', 'Vodafone belvedere towers metro station', 'RBS Dental Clinic', 'Boston Consulting Group', 'Axis bank', 'Hdfc bank', ""McDonald's"", 'Religare Wellness', 'Sikanderpur metro station']"
"4 BHK Independent Builder Floor in DLF Phase 2, Gurgaon",AKASHNEEM MARG,₹4.1 Cr,"₹13,666 /sqft","3,000 sqft (279 sqm) Carpet Area",X85623908,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-3000-sq-ft-spid-X85623908,4 Bedrooms,5 Bathrooms,2 Balconies,"Pooja Room,Study Room,Servant Room,Others",1st   of 4 Floors,East,0 to 1 Year Old,"['5 Wardrobe', '9 Fan', '1 Exhaust Fan', '8 Geyser', '1 Microwave', '1 Stove', '11 Light', '1 Modular Kitchen', '1 Chimney', '8 AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","['Gurgaon Central Mall', 'Hanuman Mandir', 'PVR Cinames', 'Privat Hospital', 'Sidhesh Hospital Gurgaon', 'Sikandarpur metro station', 'Axis bank ATM', 'Indusind bank', 'Dlf phase 2 metro station', 'Mg road metro station', 'Krishna Family Clinic', 'DLF Cyber City Phase II', 'DT Cinemas', 'KPMG', 'Pan Bangkok', 'Emaar Business Park', 'Uma Sanjeevani Health Centre And Hospital', 'Abn amro bank', 'PVR Metropolitan', 'Cosmodentz Dental Clinic', 'Kailash Nursing Home Gurgaon', 'Lord krishna bank', 'Jain Bhawan', 'Hsbc bank', 'Microsoft', 'Kotak mahindra bank', 'Divine Look Clinic Centre 1', 'Lord Krishna Hospital', '98.4', 'CEVA Logistics India', 'Guardian', 'Sikandarpur rmrg metro station', 'MGF Metropolitan', 'Arya Samaj Mandir', 'Surgi Center Clinic', 'Food Court', 'American Montessori', 'Durga Poly Clinic', 'NutrioBox Gurugram', 'Mukesh Dhaba', 'Barbecue Grill', 'Vodafone belvedere towers metro station', 'Taikisha Engineering PVT', 'Boston Consulting Group', 'Axis bank', 'Hdfc bank', 'Religare Wellness', 'Sikanderpur metro station']"
"4 BHK Independent Builder Floor in DLF Phase 2, Gurgaon","DLF Phase 2, Gurgaon",₹5.25 Cr,"₹14,583 /sqft","3,600 sqft (334 sqm) Carpet Area",T85624334,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-3600-sq-ft-spid-T85624334,4 Bedrooms,5 Bathrooms,3 Balconies,"Pooja Room,Study Room,Servant Room,Others",1st   of 4 Floors,East,1 to 5 Year Old,"['1 Water Purifier', '15 Fan', '1 Exhaust Fan', '6 Geyser', '1 Stove', '26 Light', '1 Modular Kitchen', '1 Curtains', '1 Chimney', '9 AC', '18 Wardrobe', '1 Microwave', 'No Bed', 'No Dining Table', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Park', 'Piped-gas', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","['Gurgaon Central Mall', 'PVR Cinames', 'Privat Hospital', 'Sidhesh Hospital Gurgaon', 'Sikandarpur metro station', 'Axis bank ATM', 'Indusind bank', 'Dlf phase 2 metro station', 'Mg road metro station', 'DLF Cyber City Phase II', 'DT Cinemas', 'KPMG', 'Parishram Resources', 'Pan Bangkok', 'Emaar Business Park', 'Uma Sanjeevani Health Centre And Hospital', 'Abn amro bank', 'PVR Metropolitan', 'Cosmodentz Dental Clinic', 'Central bank atm teste 001112', 'Kailash Nursing Home Gurgaon', 'Lord krishna bank', 'Jain Bhawan', 'Hsbc bank', 'Microsoft', 'Central bank ATM', 'Kotak mahindra bank', 'Lord Krishna Hospital', '98.4', 'CEVA Logistics India', 'Guardian', 'Neelkanth Medico', 'MGF Metropolitan', 'Arya Samaj Mandir', 'Surgi Center Clinic', 'Bain & Company', 'American Montessori', 'Standard chartered bank', 'NutrioBox Gurugram', 'Mukesh Dhaba', 'Taikisha Engineering PVT', 'Vodafone belvedere towers metro station', 'RBS Dental Clinic', 'Boston Consulting Group', 'Axis bank', 'Hdfc bank', 'Religare Wellness', 'Sikanderpur metro station']"
"4 BHK Independent Builder Floor in DLF Phase 2, Gurgaon",Super Luxury Fabulous Construction,₹4.4 Cr,"₹15,471 /sqft","2,844 sqft (264 sqm) Super Built-up Area",L84976228,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-2844-sq-ft-spid-L84976228,4 Bedrooms,4 Bathrooms,2 Balconies,,2nd   of 4 Floors,South-West,0 to 1 Year Old,"['8 Wardrobe', '5 Fan', '1 Exhaust Fan', '5 Geyser', '1 Stove', '1 Microwave', '11 Light', '7 AC', '1 Chimney', '1 Modular Kitchen', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Water purifier', 'Centrally Air Conditioned', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting']","['Gurgaon Central Mall', 'PVR Cinames', 'Dighent cafe', 'Privat Hospital', 'Thukral Hospital', 'Axis bank ATM', 'Sidhesh Hospital Gurgaon', 'Indusind bank', 'DT Cinemas', 'Mg road metro station', 'DLF Cyber City Phase II', 'Belgian Waffle', 'Parishram Resources', 'CCD', 'Umkal Hospital', 'Citi bank ATM', 'Pan Bangkok', 'Uma Sanjeevani Health Centre And Hospital', 'PVR Metropolitan', 'Abn amro bank', 'Pizza Hut', 'Lord krishna bank', 'Jain Bhawan', 'Hsbc bank', 'Icici bank ATM', 'Kotak mahindra bank', 'Lord Krishna Hospital', '98.4', 'Drunken Monkey', 'Guardian', 'Iffco chowk metro station', 'Neelkanth Medico', 'MGF Metropolitan', 'Arya Samaj Mandir', 'Surgi Center Clinic', 'Community Center Sukhrali', 'American Montessori', 'Punjab national bank ATM', 'NutrioBox Gurugram', 'Mukesh Dhaba', 'Roots', 'Barbecue Grill', 'Vodafone belvedere towers metro station', 'Taikisha Engineering PVT', 'Grofers Supply Chain & CRM', 'Axis bank', 'Hdfc bank', 'Religare Wellness']"
"4 BHK Independent Builder Floor in DLF Phase 2, Gurgaon",Super Luxury Two Side Open,₹5.9 Cr,"₹16,307 /sqft","3,618 sqft (336 sqm) Super Built-up Area",G84976592,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-3618-sq-ft-spid-G84976592,4 Bedrooms,4 Bathrooms,2 Balconies,,1st   of 4 Floors,South-East,0 to 1 Year Old,"['10 Wardrobe', '5 Fan', '1 Exhaust Fan', '5 Geyser', '1 Stove', '1 Microwave', '10 Light', '7 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Water purifier', 'Centrally Air Conditioned', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Internet/wi-fi connectivity', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting']","['Gurgaon Central Mall', 'PVR Cinames', 'Privat Hospital', 'Sidhesh Hospital Gurgaon', 'Sikandarpur metro station', 'Axis bank ATM', 'Thukral Hospital', 'Dlf phase 2 metro station', 'Mg road metro station', 'DLF Cyber City Phase II', 'DT Cinemas', 'Indusind bank', 'Parishram Resources', 'KPMG', 'Umkal Hospital', 'Citi bank ATM', 'Pan Bangkok', 'Uma Sanjeevani Health Centre And Hospital', 'PVR Metropolitan', 'Abn amro bank', 'Lord krishna bank', 'Jain Bhawan', 'Hsbc bank', 'Icici bank ATM', 'Microsoft', 'Kotak mahindra bank', 'Lord Krishna Hospital', '98.4', 'CEVA Logistics India', 'Guardian', 'Iffco chowk metro station', 'Neelkanth Medico', 'MGF Metropolitan', 'Arya Samaj Mandir', 'Surgi Center Clinic', 'Community Center Sukhrali', 'American Montessori', 'Punjab national bank ATM', 'NutrioBox Gurugram', 'Mukesh Dhaba', 'Barbecue Grill', 'Vodafone belvedere towers metro station', 'Taikisha Engineering PVT', 'Grofers Supply Chain & CRM', 'Boston Consulting Group', 'Axis bank', 'Hdfc bank', 'Religare Wellness']"
"4 BHK Independent Builder Floor in Sector 67A, Gurgaon",Ansal API Versalia,₹3.8 Cr,"₹15,637 /sqft","2,430 sqft (226 sqm) Carpet Area",C85054336,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-ansal-api-versalia-sector-67a-gurgaon-2430-sq-ft-spid-C85054336,4 Bedrooms,4 Bathrooms,3+ Balconies,Servant Room,4th   of 4 Floors,,0 to 1 Year Old,"['5 Wardrobe', '16 Fan', '1 Exhaust Fan', '1 Dining Table', '1 Microwave', '34 Light', '7 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Bed', 'No Geyser', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Water purifier', 'Lift(s)', 'High Ceiling Height', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Visitor Parking', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","['DPS International Edge', 'Indira Gandhi Intl Airport', 'Airia Mall', 'Sector 55-56 Metro Station', 'Pulse Multispecility Hospital', 'Park Hospital', 'Garhi Harsaru Junction', 'Badshahpur Sohna Rd Highway', 'Sector 66 Main Rd']"
