property_name,link,society,price,area,areawithtype
"4 BHK Independent Builder Floor in Sushant Lok Phase 1, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-sushant-lok-phase-1-gurgaon-2700-sq-ft-spid-O85021804,Brand New Builder Floor,₹3.85 Cr,"₹14,259 /sqft","2,700 sqft (251 sqm) Super Built-up Area"
"4 BHK Independent Builder Floor in Sector 102, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-bptp-amstoria-sector-102-gurgaon-2000-sq-ft-spid-V85303340,BPTP Amstoria,₹3.4 Cr,"₹17,000 /sqft","2,000 sqft (186 sqm) Carpet Area"
"4 BHK Independent Builder Floor in A Block Sushant Lok Phase 1, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-a-block-sushant-lok-phase-1-gurgaon-2650-sq-ft-spid-O83672012,"A Block Sushant Lok Phase 1, Gurgaon",₹3.66 Cr,"₹13,811 /sqft","2,650 sqft (246 sqm) Super Built-up Area"
"4 BHK Independent Builder Floor in DLF Phase 2, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-2700-sq-ft-spid-K85623978,"DLF Phase 2, Gurgaon",₹5.25 Cr,"₹19,444 /sqft","2,700 sqft (251 sqm) Carpet Area"
"4 BHK Independent Builder Floor in DLF Phase 2, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-4000-sq-ft-spid-E85624224,PARK FACING FLOOR,₹5 Cr,"₹12,500 /sqft","4,000 sqft (372 sqm) Carpet Area"
"4 BHK Independent Builder Floor in DLF Phase 2, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-3000-sq-ft-spid-X85623908,AKASHNEEM MARG,₹4.1 Cr,"₹13,666 /sqft","3,000 sqft (279 sqm) Carpet Area"
"4 BHK Independent Builder Floor in DLF Phase 2, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-3600-sq-ft-spid-T85624334,"DLF Phase 2, Gurgaon",₹5.25 Cr,"₹14,583 /sqft","3,600 sqft (334 sqm) Carpet Area"
"4 BHK Independent Builder Floor in DLF Phase 2, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-2844-sq-ft-spid-L84976228,Super Luxury Fabulous Construction,₹4.4 Cr,"₹15,471 /sqft","2,844 sqft (264 sqm) Super Built-up Area"
"4 BHK Independent Builder Floor in DLF Phase 2, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-3618-sq-ft-spid-G84976592,Super Luxury Two Side Open,₹5.9 Cr,"₹16,307 /sqft","3,618 sqft (336 sqm) Super Built-up Area"
"4 BHK Independent Builder Floor in Sector 67A, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-ansal-api-versalia-sector-67a-gurgaon-2430-sq-ft-spid-C85054336,Ansal API Versalia,₹3.8 Cr,"₹15,637 /sqft","2,430 sqft (226 sqm) Carpet Area"
"4 BHK Independent Builder Floor in DLF Phase 2, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-3000-sq-ft-spid-H85623996,VASTU COMPLAINT,₹4.35 Cr,"₹14,500 /sqft","3,000 sqft (279 sqm) Carpet Area"
"4 BHK Independent Builder Floor in DLF Phase 2, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-3000-sq-ft-spid-O84762244,"DLF Phase 2, Gurgaon",₹4.71 Cr,"₹15,700 /sqft","3,000 sqft (279 sqm) Super Built-up Area"
