property_name,link,society,price,area,areawithtype
"2 BHK Flat in Sector 112, Gurgaon",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-tata-gurgaon-gateway-sector-112-gurgaon-1580-sq-ft-spid-L84924514,Tata Gurgaon Gateway,₹2.5 Cr,"₹15,822 /sqft","1,580 sqft (147 sqm) Super Built-up Area"
"3 BHK Flat in Sector 37C, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ramprastha-the-view-sector-37c-gurgaon-1565-sq-ft-r1-spid-W81100115,Ramprastha The View,₹1.29 Cr,"₹10,254 /sqft","1,565 sqft (145 sqm) Super Built-up Area"
"4 BHK Flat in Sector 84, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ss-linden-floors-sector-84-gurgaon-2722-sq-ft-r1-spid-M80850013,SS Linden Floors,₹2.9 Cr,"₹10,653 /sqft","2,722 sqft (253 sqm) Super Built-up Area"
"3 BHK Flat in Sector 102, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-1852-sq-ft-spid-Q85232920,Shapoorji Pallonji Joyville Gurugram,₹2.65 Cr,"₹20,075 /sqft","1,852 sqft (172 sqm) Super Built-up Area"
"3 BHK Flat in Sector 102, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-imperial-gardens-sector-102-gurgaon-2025-sq-ft-spid-K85040518,Emaar Imperial Gardens,₹2.4 Cr,"₹11,851 /sqft","2,025 sqft (188 sqm) Super Built-up Area"
"3 BHK Flat in Sector 104, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-hero-homes-sector-104-gurgaon-1689-sq-ft-spid-H85230422,Hero Homes,₹2.4 Cr,"₹14,209 /sqft","1,689 sqft (157 sqm) Super Built-up Area"
"3 BHK Flat in Sector 56, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-intelligentsia-apartment-sector-56-gurgaon-1870-sq-ft-spid-S84778506,Intelligentsia Apartment,₹2.4 Cr,"₹12,834 /sqft","1,870 sqft (174 sqm) Super Built-up Area"
3 BHK Flats in Sector 65 Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-emerald-floors-premier-sector-65-gurgaon-1450-sq-ft-spid-L85411254,Emaar MGF Emerald Floors Premier,₹3.5 Cr,"₹24,137 /sqft","1,450 sqft (134.71 sq.m.) Carpet Area"
"3 BHK Flat in Sector 109, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-tourmaline-sector-109-gurgaon-1750-sq-ft-r1-spid-P81201127,ATS Tourmaline,₹2.07 Cr,"₹17,107 /sqft","1,750 sqft (163 sqm) Super Built-up Area"
"3 BHK Flat in Sector 108, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-2072-sq-ft-r1-spid-R82389998,Sobha City,₹4.29 Cr,"₹20,704 /sqft","2,072 sqft (193 sqm) Super Built-up Area"
"4 BHK Flat in Sector 104, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ats-triumph-sector-104-gurgaon-3150-sq-ft-spid-K78440425,ATS Triumph,₹3.85 Cr,"₹12,222 /sqft","3,150 sqft (293 sqm) Super Built-up Area"
"3 BHK Flat in Sector 109, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-tourmaline-sector-109-gurgaon-2150-sq-ft-spid-E78249641,ATS Tourmaline,₹2.45 Cr,"₹17,753 /sqft","2,150 sqft (200 sqm) Super Built-up Area"
"3 BHK Flat in Sector 83, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vatika-lifestyle-homes-sector-83-gurgaon-1550-sq-ft-spid-N84662010,Vatika Lifestyle Homes,₹1.55 Cr,"₹10,000 /sqft","1,550 sqft (144 sqm) Super Built-up Area"
