link,bedrooms,bathrooms,balcony,additional_room,floor_info,facing,property_age,property_id,furnishing_details,features,nearby_location
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-tata-gurgaon-gateway-sector-112-gurgaon-1580-sq-ft-spid-L84924514,2 Bedrooms,2 Bathrooms,2 Balconies,Study Room,5th   of 24 Floors,North-East,0 to 1 Year Old,L84924514,"['3 Wardrobe', '1 Water Purifier', '4 Fan', '3 Geyser', '1 Stove', '20 Light', '5 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Metro Hospital, Palam Vihar', 'Mount Carmel School', 'Dwarka Sector 21 Metro Station', 'Dwarka Expressway', 'Delhi Jaipur Highway', 'Red Roses Public School', 'The Oberoi, Gurgaon', 'Indira Gandhi International Airport', 'Dwarka Expy', 'The NorthCap University', 'DLF Corporate Park', 'Gurgaon Dreamz Mall']"
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ramprastha-the-view-sector-37c-gurgaon-1565-sq-ft-r1-spid-W81100115,3 Bedrooms,3 Bathrooms,3 Balconies,,Ground of 13 Floors,North-West,1 to 5 Year Old,W81100115,"['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '1 Geyser', '8 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Bank Attached Property', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']","['Elan Miracle Mall', 'Holiday Inn Gurugram Sector 90 by IHG', 'The Signature Hospital', 'Narayana e-Techno School', 'Indira Gandhi International Airport', 'Hans Business Park', 'Dwarka Expy', 'Gurugram University']"
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ss-linden-floors-sector-84-gurgaon-2722-sq-ft-r1-spid-M80850013,4 Bedrooms,4 Bathrooms,2 Balconies,"Servant Room,Store Room",3rd   of 4 Floors,North-East,0 to 1 Year Old,M80850013,"['4 Wardrobe', '8 Fan', '1 Exhaust Fan', '15 Light', '6 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'High Ceiling Height', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Rain Water Harvesting', 'Club house / Community Center']","['AapnoGhar', 'Modern Public School-kherki Daula', 'Dwarka Expressway', 'Miracles Apollo Cradle Spectra Hospital', 'Millennium City Centre Gurugram', 'City Square mall', 'Holiday Inn Gurugram Sector 90', 'Agri Business Management Collage', 'Indira Gandhi International Airport', 'Nakhrola Stadium', 'AS Business Park', 'Manesar Golf Course', 'Gurgaon Railway Station']"
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-1852-sq-ft-spid-Q85232920,3 Bedrooms,3 Bathrooms,3 Balconies,,12nd   of 26 Floors,North-East,1 to 5 Year Old,Q85232920,"['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '3 Geyser', '1 Stove', '14 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Hyatt Place Gurgaon Udyog Vihar', 'The Esplanade Mall by DHOOT GROUP', 'Columbia Asia Hospital', 'Dwarka Expressway', 'Delhi Public School', 'Indira Gandhi International Airport', 'The NorthCap University', 'Gurgaon Railway Station', 'IFFCO Chowk Metro Station']"
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-imperial-gardens-sector-102-gurgaon-2025-sq-ft-spid-K85040518,3 Bedrooms,4 Bathrooms,3+ Balconies,Servant Room,7th   of 14 Floors,North-East,1 to 5 Year Old,K85040518,"['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '3 Geyser', '1 Microwave', '16 Light', '5 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Bed', 'No Dining Table', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Sunrise University', 'Country Inn & Suites by Radisson', 'Gurugram Global Heights School', 'Satya The Hive Mall', 'Dwarka Expy', 'Gurugram Road', 'Basai Dhankot Railway Station', 'Nehru Stadium', 'The Signature Super Speciality Hospital', 'Indira Gandhi Intl Airport']"
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-hero-homes-sector-104-gurgaon-1689-sq-ft-spid-H85230422,3 Bedrooms,3 Bathrooms,3 Balconies,Pooja Room,15th   of 36 Floors,North-East,0 to 1 Year Old,H85230422,"['1 Water Purifier', '5 Fan', '1 Exhaust Fan', '3 Geyser', '1 Stove', '15 Light', '4 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '3 Wardrobe', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'High Ceiling Height', 'False Ceiling Lighting', 'No open drainage around', 'Recently Renovated', 'Swimming Pool', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Orient Bestech Business Tower', 'Dwarka Expressway', 'SGT University', 'Gurugram Global Heights School', 'Indira Gandhi International Airport', 'Medanta Hospital', 'The Esplanade Mall', 'Taj City Centre Gurugram', 'Appu Ghar Amusement Park', 'Gurgaon Railway Station']"
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-intelligentsia-apartment-sector-56-gurgaon-1870-sq-ft-spid-S84778506,3 Bedrooms,3 Bathrooms,3 Balconies,,8th   of 9 Floors,North-East,10+ Year Old,S84778506,"['6 Wardrobe', '1 Exhaust Fan', '4 Geyser', '40 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Piped-gas', 'Visitor Parking', 'Club house / Community Center']","['Shophouse by Kylin', 'Medisca', 'Clock tower', 'HCG CNG Station', 'Icici bank ATM', 'Apollo Pharmacy', 'Hdfc bank', 'Naivedyam Restaurant', ""Carl's Jr."", 'State bank ATM', 'Ansal Institute of Technology', 'Sushant College of Arts & Architecture', 'Sector metro station', 'Surgicare Hospital Gurgaon', 'Kriti Hospital', 'Hong Kong Bazaar Mall', 'Pizza Hut', 'Wat-a-Burger', 'Intellion Park', 'Sanatan Dharm Mandir', 'Two Horizon Center', 'Radhakrishna Shani Mandir', 'Axis bank', 'HUDA Office Complex', 'Anand Hospital Gurgaon', 'Sagar Ratna', 'Indusind bank', 'Citi bank ATM', 'Burger Singh', 'International Tech Park', 'Suncity School', 'pracksht hospital', 'Heera Fuel Station', '222', 'Cafe Tonini', 'IILM', 'State bank of india', 'Indusind bank ATM', 'Arunodaya Deseret Eye Hospital', 'Kotak mahindra bank', 'Hdfc bank and atm', 'Starbucks', 'Iilm University', 'Icici bank', 'Bikanerwala', 'Sector 54 chowk metro station', 'Hdfc bank & atm']"
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-emerald-floors-premier-sector-65-gurgaon-1450-sq-ft-spid-L85411254,3 Bedrooms,3 Bathrooms,No Balcony,,4th   of 4 Floors,,1 to 5 Year Old,L85411254,,,"['Delhi International Airport', 'Golf Course Road', 'Sohna Road', 'WorldMark Gurgaon', 'Lemon Tree Hotel', 'CK Birla Hospital']"
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-tourmaline-sector-109-gurgaon-1750-sq-ft-r1-spid-P81201127,3 Bedrooms,3 Bathrooms,3+ Balconies,Others,10th   of 27 Floors,East,1 to 5 Year Old,P81201127,"['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '5 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']","['The Northcap University', 'Global Foyer Mall', 'Dwarka Expressway', 'Dwarka Sector-25 Metro Station', 'Infospace Limited Business Park', 'Delhi Public School', 'BSF Golf Course', 'Manipal Hospital, Palam Vihar', 'Indira Gandhi International Airport', 'Crowne Plaza Gurgaon', 'Nehru Stadium', 'Gurgaon Railway Station']"
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-2072-sq-ft-r1-spid-R82389998,3 Bedrooms,3 Bathrooms,2 Balconies,,12nd   of 24 Floors,North,1 to 5 Year Old,R82389998,"['3 Wardrobe', '6 Fan', '1 Exhaust Fan', '3 Geyser', '1 Stove', '8 Light', '4 AC', '1 Chimney', '1 Modular Kitchen', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Dronacharya Government College', 'Sadar Market', 'DDA Golf Course Dwarka', 'BSF Golf Course', 'Safdarjung Airport', 'Indira Gandhi International Airport', 'Chintels Corporate Park', 'Imperial Heritage School', 'Manipal Hospital, Palam Vihar, Gurugram', 'Bijwasan Railway Station', 'Dwarka Sector 25 Metro Station', 'Country Inn & Suites by Sector 12', 'Pacific D21 Mall']"
